grib_id,hrap_x,hrap_y
179922,562,161
179923,563,161
179924,564,161
179925,565,161
179926,566,161
179927,567,161
179928,568,161
179929,569,161
179930,570,161
179931,571,161
179932,572,161
179933,573,161
179934,574,161
179935,575,161
179936,576,161
179937,577,161
180996,515,162
180997,516,162
180998,517,162
180999,518,162
181000,519,162
181001,520,162
181002,521,162
181003,522,162
181004,523,162
181005,524,162
181006,525,162
181007,526,162
181008,527,162
181009,528,162
181010,529,162
181011,530,162
181012,531,162
181013,532,162
181014,533,162
181015,534,162
181016,535,162
181017,536,162
181018,537,162
181019,538,162
181020,539,162
181021,540,162
181022,541,162
181023,542,162
181024,543,162
181025,544,162
181026,545,162
181027,546,162
181028,547,162
181029,548,162
181030,549,162
181031,550,162
181032,551,162
181033,552,162
181034,553,162
181035,554,162
181036,555,162
181037,556,162
181038,557,162
181039,558,162
181040,559,162
181041,560,162
181042,561,162
181043,562,162
181044,563,162
181045,564,162
181046,565,162
181047,566,162
181048,567,162
181049,568,162
181050,569,162
181051,570,162
181052,571,162
181053,572,162
181054,573,162
181055,574,162
181056,575,162
181057,576,162
181058,577,162
182116,514,163
182117,515,163
182118,516,163
182119,517,163
182120,518,163
182121,519,163
182122,520,163
182123,521,163
182124,522,163
182125,523,163
182126,524,163
182127,525,163
182128,526,163
182129,527,163
182130,528,163
182131,529,163
182132,530,163
182133,531,163
182134,532,163
182135,533,163
182136,534,163
182137,535,163
182138,536,163
182139,537,163
182140,538,163
182141,539,163
182142,540,163
182143,541,163
182144,542,163
182145,543,163
182146,544,163
182147,545,163
182148,546,163
182149,547,163
182150,548,163
182151,549,163
182152,550,163
182153,551,163
182154,552,163
182155,553,163
182156,554,163
182157,555,163
182158,556,163
182159,557,163
182160,558,163
182161,559,163
182162,560,163
182163,561,163
182164,562,163
182165,563,163
182166,564,163
182167,565,163
182168,566,163
182169,567,163
182170,568,163
182171,569,163
182172,570,163
182173,571,163
182174,572,163
182175,573,163
182176,574,163
182177,575,163
182178,576,163
182179,577,163
182180,578,163
183237,514,164
183238,515,164
183239,516,164
183240,517,164
183241,518,164
183242,519,164
183243,520,164
183244,521,164
183245,522,164
183246,523,164
183247,524,164
183248,525,164
183249,526,164
183250,527,164
183251,528,164
183252,529,164
183253,530,164
183254,531,164
183255,532,164
183256,533,164
183257,534,164
183258,535,164
183259,536,164
183260,537,164
183261,538,164
183262,539,164
183263,540,164
183264,541,164
183265,542,164
183266,543,164
183267,544,164
183268,545,164
183269,546,164
183270,547,164
183271,548,164
